gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_05169,450.6445678602922,2.179386898974709,0.11854455375972035,18.384538385391703,1.7472055944961333e-75,3.4944111889922665e-71
gene_10397,265.71720464452227,2.1473012489499386,0.11806604361732714,18.187288937280904,6.508066970672395e-74,6.508066970672395e-70
gene_14379,580.8164237281845,-2.1594239972335165,0.14535409860791074,-14.856299326367894,6.3328087448027135e-50,4.2218724965351424e-46
gene_08539,591.1469069608905,2.298874242196796,0.15762331260092335,14.584608103099397,3.519371463221866e-48,1.759685731610933e-44
gene_17015,93.08868538855329,-2.59740062524844,0.1854260808645204,-14.00774159243652,1.3977968043627488e-44,5.591187217450995e-41
gene_18064,89.49885112828319,1.9116530236676081,0.14054980354302662,13.601250058541648,3.936471898314771e-42,1.3121572994382572e-38
gene_13798,2457.1083034407434,2.2307970323482285,0.16602313673583907,13.436663565137128,3.6868866753452307e-41,1.0533961929557801e-37
gene_15044,166.2963568404902,2.0845303680365435,0.15620679460977607,13.34468435412146,1.2720824465242831e-40,3.1802061163107075e-37
gene_15648,86.71134095974368,-1.8009520346480816,0.13986647019635326,-12.876224245309066,6.125994610506752e-38,1.3613321356681672e-34
gene_03773,246.09022293899193,2.257354380153228,0.17712957839923457,12.744084870260057,3.3631401046837654e-37,6.726280209367531e-34
gene_06068,296.25127724402387,1.9406855566862709,0.15252104617854073,12.724050911731286,4.347249324755129e-37,7.904089681372961e-34
gene_17491,708.5796190269281,2.081620192524346,0.16610086487977732,12.532265825533228,4.9721545906639876e-36,7.95080035028829e-33
gene_07042,464.92447145758024,2.117206880966581,0.16898178515023593,12.529201766239153,5.1680202276873883e-36,7.95080035028829e-33
gene_02888,162.26770490200707,1.9137281823258459,0.1531564361130517,12.49525146245396,7.924532609577017e-36,1.132076087082431e-32
gene_02983,34.62088739062507,-2.307582529316075,0.18605699002246046,-12.40255756603129,2.5311368826022067e-35,3.374849176802942e-32
gene_07674,90.8170566328359,2.217027975560812,0.1791189006721107,12.37740945953678,3.4634225591608065e-35,4.329278198951008e-32
gene_17604,445.6665934663377,2.1147268149429435,0.17349107722799406,12.189254045404686,3.5465281994458406e-34,4.1723861169951065e-31
gene_11043,101.8227331029202,-1.7010589713460842,0.1396325838304508,-12.18239271008262,3.857949759526686e-34,4.28661084391854e-31
gene_17186,328.72094248480965,2.3620681797479324,0.19396669944463263,12.177699504662549,4.0864623384273835e-34,4.301539303607772e-31
gene_12754,106.87376010898436,1.8702467929389501,0.15430758446370388,12.120251894545522,8.250516961727101e-34,8.250516961727102e-31
gene_19468,94.81885822571239,2.1773525380247247,0.1808653806412123,12.038525727286636,2.2290355071733095e-33,2.1228909592126758e-30
gene_06503,2706.623007708915,2.016680158932674,0.17168275217598472,11.746550736007896,7.356059359521394e-32,6.687326690473994e-29
gene_08425,126.31209580945419,1.7816582049318581,0.15195061796226764,11.725244877742316,9.462699882458076e-32,8.228434680398327e-29
gene_12428,206.0282766722227,1.8220902896579878,0.15551837358645343,11.716238072957204,1.0524246881488312e-31,8.770205734573595e-29
gene_13592,42.14633370571966,-1.804234539045528,0.15508692024036244,-11.633698936372092,2.777936000004826e-31,2.2223488000038608e-28
gene_05138,56.270718577577135,-1.940630096787293,0.16697316087745342,-11.622407377264537,3.1707376493373243e-31,2.439028961028711e-28
gene_12362,184.9700010934281,1.8617730682148865,0.16109578489311893,11.556932227929513,6.809835228153749e-31,5.0443223912249995e-28
gene_08457,351.7431287779354,2.1434643867002587,0.18587932073874203,11.531483858352113,9.155197215652205e-31,6.539426582608718e-28
gene_00265,295.2354758027529,2.49232137711374,0.2165693549309543,11.508190426611055,1.1996931432359279e-30,8.273745815420194e-28
gene_19982,48.09343102357487,2.2588790668939915,0.1979354905735197,11.41219828919448,3.634267544190499e-30,2.422845029460333e-27
gene_05861,118.72450627473195,-1.9775783377973815,0.17399548561660394,-11.365687625683238,6.1974508904793985e-30,3.998355413212515e-27
gene_12766,48.21501043356451,-2.0348013737626203,0.1793638967086609,-11.3445426370711,7.893788407144284e-30,4.933617754465177e-27
gene_00419,133.0832946309562,2.152661290031994,0.1900943311341012,11.324174041325877,9.961336567265591e-30,6.037173677130662e-27
gene_00019,388.62107664567185,2.0532623682909783,0.1814690758996375,11.314668122443884,1.1102162606128854e-29,6.53068388595815e-27
gene_03593,234.3161000654128,-1.8107932692410436,0.16143446227375507,-11.216894111310395,3.3689551938465274e-29,1.925117253626587e-26
gene_17877,114.76637661415594,1.7749564789996282,0.15951081107070395,11.127499553700282,9.218519584244123e-29,5.121399769024513e-26
gene_01783,12.665450933019734,2.201758556099321,0.19842611968117269,11.096112546256839,1.3101954922856498e-28,6.936659581813452e-26
gene_18829,220.61429383870805,2.49186723812698,0.22458189333408873,11.095583892064132,1.317965320544556e-28,6.936659581813452e-26
gene_14081,106.49913796642223,-2.3239569587671847,0.21042848708614045,-11.04392751641015,2.3455168991171155e-28,1.2028291790344183e-25
gene_19125,109.00841527124287,2.139322695789143,0.19404298486381474,11.024993752237862,2.8953860787552473e-28,1.4476930393776237e-25
gene_02755,123.43296668501728,-2.2307292184291825,0.20259789248516472,-11.01062400534363,3.3964309645055985e-28,1.6567955924417553e-25
gene_16195,92.50571911710874,2.0671908005872255,0.188268360364767,10.980022328669968,4.768059450457868e-28,2.2705045002180325e-25
gene_00545,98.1185716530163,2.026230815947926,0.1850942745955144,10.947020486591702,6.866934770756292e-28,3.193923149188973e-25
